event,value,timestamp
hrv,0.9,2026-02-24T10:04:04.748849
hrv,11.547005383792516,2026-02-24T10:04:05.801452
hrv,14.142135623730951,2026-02-24T10:04:05.804483
hrv,14.142135623730951,2026-02-24T10:04:05.805472
hrv,12.649110640673518,2026-02-24T10:04:05.807467
hrv,11.661903789690601,2026-02-24T10:04:06.746185
hrv,10.796824930109247,2026-02-24T10:04:06.748180
hrv,14.391837964624255,2026-02-24T10:04:07.746088
hrv,13.568754958031747,2026-02-24T10:04:07.749085
hrv,16.772000476985447,2026-02-24T10:04:08.747419
hrv,15.991475001614852,2026-02-24T10:04:08.751409
hrv,14.720472400446518,2026-02-24T10:04:08.757392
hrv,14.720472400446518,2026-02-24T10:04:08.758313
hrv,14.740614447359862,2026-02-24T10:04:09.747107
hrv,14.24078649513432,2026-02-24T10:04:09.750803
hrv,13.824796562698491,2026-02-24T10:04:10.795935
hrv,13.412022701336904,2026-02-24T10:04:10.799457
hrv,13.206856273601941,2026-02-24T10:04:11.748017
hrv,13.206856273601941,2026-02-24T10:04:11.750044
hrv,13.861818062577505,2026-02-24T10:04:11.753039
hrv,13.527749258468683,2026-02-24T10:04:11.756019
hrv,13.207376068269415,2026-02-24T10:04:12.748697
hrv,13.207376068269415,2026-02-24T10:04:12.749660
hrv,13.122817278821394,2026-02-24T10:04:13.753148
hrv,12.857682528356344,2026-02-24T10:04:13.755175
hrv,12.396235987858034,2026-02-24T10:04:14.747422
hrv,12.396235987858034,2026-02-24T10:04:14.747422
hrv,12.26638845440196,2026-02-24T10:04:15.745387
hrv,12.053043684852616,2026-02-24T10:04:15.749360
hrv,12.051279323513057,2026-02-24T10:04:15.753368
hrv,11.855310501913234,2026-02-24T10:04:15.755311
hrv,11.716708155450489,2026-02-24T10:04:16.745915
hrv,11.537816609792864,2026-02-24T10:04:16.749198
hrv,11.35655883493889,2026-02-24T10:04:17.748757
hrv,11.35655883493889,2026-02-24T10:04:17.749318
hrv,12.164414205911148,2026-02-24T10:04:18.752858
hrv,12.353350280709066,2026-02-24T10:04:18.758957
hrv,12.353350280709066,2026-02-24T10:04:18.759839
hrv,12.193945534252139,2026-02-24T10:04:18.763830
hrv,11.958260743101398,2026-02-24T10:04:20.320503
hrv,11.958260743101398,2026-02-24T10:04:20.320503
hrv,11.816050423853463,2026-02-24T10:04:20.745004
hrv,11.67784624934135,2026-02-24T10:04:20.748022
hrv,12.398680281678075,2026-02-24T10:04:21.794957
hrv,12.260143192928503,2026-02-24T10:04:21.799981
hrv,12.053074120102343,2026-02-24T10:04:21.804961
hrv,12.053074120102343,2026-02-24T10:04:21.805646
hrv,12.419742348374221,2026-02-24T10:04:22.744213
hrv,12.29235700817083,2026-02-24T10:04:22.747464
hrv,12.76023234160588,2026-02-24T10:04:23.747641
hrv,12.76023234160588,2026-02-24T10:04:23.748936
hrv,12.637703053226819,2026-02-24T10:04:24.794557
hrv,12.517911695148962,2026-02-24T10:04:24.796581
hrv,12.4283129572345,2026-02-24T10:04:24.800567
hrv,12.314810004809065,2026-02-24T10:04:24.803564
hrv,12.240156394892534,2026-02-24T10:04:25.745778
hrv,12.132311505073563,2026-02-24T10:04:25.747785
hrv,11.927748590604933,2026-02-24T10:04:26.747935
hrv,11.927748590604933,2026-02-24T10:04:26.748942
hrv,11.953298956028975,2026-02-24T10:04:26.752921
hrv,11.666263108435976,2026-02-24T10:04:26.754922
hrv,11.724955278003684,2026-02-24T10:04:27.745905
hrv,11.432187684526408,2026-02-24T10:04:27.749285
hrv,11.64445019479164,2026-02-24T10:04:28.808311
hrv,11.632799916542238,2026-02-24T10:04:28.812320
hrv,11.474363465968496,2026-02-24T10:04:29.747738
hrv,11.474363465968496,2026-02-24T10:04:29.748736
hrv,11.598509547731275,2026-02-24T10:04:29.753754
hrv,10.720643795492437,2026-02-24T10:04:29.756747
hrv,10.79940362446315,2026-02-24T10:04:30.744689
hrv,10.796264262878077,2026-02-24T10:04:30.747630
hrv,10.646874292645228,2026-02-24T10:04:31.750710
hrv,10.646874292645228,2026-02-24T10:04:31.750710
hrv,10.901718104368625,2026-02-24T10:04:32.752172
hrv,10.889273216631157,2026-02-24T10:04:32.756014
hrv,10.889273216631157,2026-02-24T10:04:33.745648
hrv,10.688184510738632,2026-02-24T10:04:33.750642
hrv,10.889273216631157,2026-02-24T10:04:33.752635
hrv,10.469487546748667,2026-02-24T10:04:33.756592
hrv,10.514719303619014,2026-02-24T10:04:34.748755
hrv,10.514719303619014,2026-02-24T10:04:34.750189
hrv,10.611793886592663,2026-02-24T10:04:35.771534
hrv,10.514719303619014,2026-02-24T10:04:35.775525
hrv,10.719062696185043,2026-02-24T10:04:36.743672
hrv,10.932768346983922,2026-02-24T10:04:36.753650
hrv,10.883045436186586,2026-02-24T10:04:36.756609
hrv,10.883045436186586,2026-02-24T10:04:36.756609
hrv,10.932768346983922,2026-02-24T10:04:37.747890
hrv,10.82057049155505,2026-02-24T10:04:37.751878
hrv,10.795479279835423,2026-02-24T10:04:38.748399
hrv,10.795479279835423,2026-02-24T10:04:38.749442
hrv,10.795479279835423,2026-02-24T10:04:39.747730
hrv,10.81351947285575,2026-02-24T10:04:39.754710
hrv,10.03215170322948,2026-02-24T10:04:39.756694
hrv,10.03215170322948,2026-02-24T10:04:39.758655
hrv,10.507463045902991,2026-02-24T10:04:40.767047
hrv,10.242814761445613,2026-02-24T10:04:40.770039
hrv,10.455717761029373,2026-02-24T10:04:44.190350
hrv,10.455717761029373,2026-02-24T10:04:44.190350
hrv,10.454907208854735,2026-02-24T10:04:44.199323
hrv,9.70147638598356,2026-02-24T10:04:44.204278
hrv,9.70147638598356,2026-02-24T10:04:44.206300
hrv,9.70147638598356,2026-02-24T10:04:44.206300
hrv,9.709335015369382,2026-02-24T10:04:44.305008
hrv,9.653312419991705,2026-02-24T10:04:44.308000
hrv,10.318651863067503,2026-02-24T10:04:44.745260
hrv,9.834219054240132,2026-02-24T10:04:44.750562
hrv,9.059127806260904,2026-02-24T10:04:45.832596
hrv,9.152197105854244,2026-02-24T10:04:45.834621
hrv,9.152197105854244,2026-02-24T10:04:45.836623
hrv,9.151271098151579,2026-02-24T10:04:45.838616
hrv,9.35731382576743,2026-02-24T10:04:46.747329
hrv,9.32465294487537,2026-02-24T10:04:46.751228
hrv,9.583707926847449,2026-02-24T10:04:47.746197
hrv,9.540280349787546,2026-02-24T10:04:47.753135
hrv,9.60755352552161,2026-02-24T10:04:48.756119
hrv,9.60755352552161,2026-02-24T10:04:48.759111
hrv,9.60755352552161,2026-02-24T10:04:48.759111
hrv,9.60755352552161,2026-02-24T10:04:48.759111
hrv,10.683426099353099,2026-02-24T10:04:49.759157
hrv,10.683426099353099,2026-02-24T10:04:49.759157
hrv,10.686598609029371,2026-02-24T10:04:50.743327
hrv,10.454907208854735,2026-02-24T10:04:50.749912
hrv,9.956685855260222,2026-02-24T10:04:51.749225
hrv,10.011010887170729,2026-02-24T10:04:51.753251
hrv,10.011010887170729,2026-02-24T10:04:51.753251
hrv,9.86691097575071,2026-02-24T10:04:51.756243
hrv,10.141373557221854,2026-02-24T10:04:52.746565
hrv,10.05746202443148,2026-02-24T10:04:52.749584
hrv,10.087750584962278,2026-02-24T10:04:53.745196
hrv,10.05746202443148,2026-02-24T10:04:53.749217
